f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
116.4601,229.985,410.2182,462.493,1378.0,2952.0,3436.0,2314.0,15.0,32.0,52.0,60.0,88.0,228.0,304.0,238.0,8.5362,21.0118,30.6162,28.978,3.61,31.160000000000004,32.584999999999994,37.126,841.0,1102.0,928.0,725.0,1.0,5.0,7.0,8.0,25.0,65.0,90.0,60.0,1.9044,5.092199999999999,6.334199999999999,5.6856,0.0,-6.9,-3.85,-4.340000000000002,0.0,107.0,171.0,207.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,28.0,0.0,3.2099999999999995,5.069999999999999,6.919999999999998,qmof-0a0e6b0_primitive
116.4601,229.985,410.2182,462.493,1378.0,2952.0,3436.0,2314.0,15.0,32.0,52.0,60.0,88.0,228.0,304.0,238.0,8.5362,21.0118,30.6162,28.978,3.61,31.160000000000004,32.584999999999994,37.126,841.0,1102.0,928.0,725.0,1.0,5.0,7.0,8.0,25.0,65.0,90.0,60.0,1.9044,5.092199999999999,6.334199999999999,5.6856,0.0,-6.9,-3.85,-4.340000000000002,0.0,107.0,171.0,207.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,28.0,0.0,3.2099999999999995,5.069999999999999,6.919999999999998,qmof-0a0e6b0_primitive
181.8165,370.1864,675.8895999999999,939.2436,3399.0,6308.0,12510.0,10126.0,24.0,52.0,90.0,124.0,146.0,404.0,644.0,660.0,16.829700000000003,39.357200000000006,69.68119999999998,80.46459999999998,3.61,24.624,33.63633333333333,60.29333333333332,841.0,870.0,2503.6666666666665,2097.6666666666665,1.0,4.0,7.333333333333333,11.0,16.0,48.0,88.0,133.33333333333334,1.9044,4.0848,8.8872,11.2838,0.0,-5.36,-3.77,-10.833333333333336,0.0,86.0,126.33333333333331,246.66666666666663,0.0,0.0,0.0,0.0,0.0,4.0,7.333333333333333,10.666666666666666,0.0,2.559999999999999,3.68,7.003333333333332,qmof-00a1a50_primitive
181.8165,370.1864,675.8895999999999,939.2436,3399.0,6308.0,12510.0,10126.0,24.0,52.0,90.0,124.0,146.0,404.0,644.0,660.0,16.829700000000003,39.357200000000006,69.68119999999998,80.4646,3.61,24.624,33.63633333333333,60.29333333333332,841.0,870.0,2503.6666666666665,2097.6666666666665,1.0,4.0,7.333333333333333,11.0,16.0,48.0,88.0,133.33333333333334,1.9044,4.0848,8.8872,11.2838,0.0,-5.36,-3.77,-10.833333333333336,0.0,86.0,126.33333333333331,246.66666666666663,0.0,0.0,0.0,0.0,0.0,4.0,7.333333333333333,10.666666666666666,0.0,2.559999999999999,3.68,7.003333333333332,qmof-00a1a50_primitive
181.8165,370.1864,675.8896,939.2436,3399.0,6308.0,12510.0,10126.0,24.0,52.0,90.0,124.0,146.0,404.0,644.0,660.0,16.829700000000003,39.357200000000006,69.68119999999996,80.4646,3.61,24.624,33.63633333333333,60.29333333333332,841.0,870.0,2503.6666666666665,2097.6666666666665,1.0,4.0,7.333333333333333,11.0,16.0,48.0,88.0,133.33333333333334,1.9044,4.0848,8.8872,11.2838,0.0,-5.36,-3.77,-10.833333333333336,0.0,86.0,126.33333333333331,246.66666666666663,0.0,0.0,0.0,0.0,0.0,4.0,7.333333333333333,10.666666666666666,0.0,2.559999999999999,3.68,7.003333333333332,qmof-00a1a50_primitive
262.79560000000004,556.4415999999998,986.8127999999996,1743.979999999999,4960.0,8848.0,16176.0,21488.0,36.0,80.0,144.0,232.0,224.0,624.0,1040.0,1280.0,25.350800000000003,58.92000000000003,109.1984,155.93359999999998,2.7225,20.064,36.89399999999999,53.625,900.0,840.0,1560.0,3360.0,1.0,4.0,8.0,14.0,16.0,48.0,96.0,144.0,1.7161000000000002,3.93,7.9648,13.440600000000003,0.0,-5.5600000000000005,-9.160000000000002,-9.400000000000004,0.0,92.0,188.0,308.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,20.0,0.0,2.24,4.4,8.080000000000002,qmof-0a0bcfa_primitive
99.201,165.02399999999997,296.809,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.1559,16.936,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
99.201,165.02399999999997,296.809,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.1559,16.936,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
99.201,165.02399999999997,296.809,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.155899999999999,16.935999999999996,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
99.201,165.02399999999997,296.809,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.155899999999999,16.936,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
99.201,165.02399999999997,296.809,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.1559,16.936,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
99.201,165.02399999999997,296.8089999999999,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.1559,16.936,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
99.201,165.02399999999997,296.8089999999999,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.1559,16.936,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
99.201,165.02399999999997,296.809,412.896,1362.0,2814.0,3376.0,2256.0,12.0,22.0,34.0,48.0,56.0,138.0,158.0,104.0,8.155899999999999,16.935999999999996,24.7118,27.104000000000003,3.61,31.92000000000001,29.07,64.239,841.0,1131.0,1044.0,2175.0,1.0,5.0,6.0,12.0,25.0,55.0,90.0,175.0,1.9044,5.064599999999999,6.3756,11.978399999999995,0.0,-7.299999999999999,-3.899999999999999,-11.01,0.0,106.0,138.0,273.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,25.0,0.0,3.23,3.66,7.879999999999997,qmof-0a1bc7e_primitive
116.4601,229.985,410.2182,462.493,1378.0,2952.0,3436.0,2314.0,15.0,32.0,52.0,60.0,88.0,228.0,304.0,238.0,8.5362,21.0118,30.6162,28.978,3.61,31.160000000000004,32.584999999999994,37.126,841.0,1102.0,928.0,725.0,1.0,5.0,7.0,8.0,25.0,65.0,90.0,60.0,1.9044,5.092199999999999,6.334199999999999,5.6856,0.0,-6.9,-3.85,-4.340000000000002,0.0,107.0,171.0,207.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,28.0,0.0,3.2099999999999995,5.069999999999999,6.919999999999998,qmof-0a0e6b0_primitive
116.4601,229.985,410.2182,462.493,1378.0,2952.0,3436.0,2314.0,15.0,32.0,52.0,60.0,88.0,228.0,304.0,238.0,8.5362,21.0118,30.6162,28.978,3.61,31.160000000000004,32.584999999999994,37.126,841.0,1102.0,928.0,725.0,1.0,5.0,7.0,8.0,25.0,65.0,90.0,60.0,1.9044,5.092199999999999,6.334199999999999,5.6856,0.0,-6.9,-3.85,-4.340000000000002,0.0,107.0,171.0,207.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,28.0,0.0,3.2099999999999995,5.069999999999999,6.919999999999998,qmof-0a0e6b0_primitive
116.4601,229.985,410.2182,462.493,1378.0,2952.0,3436.0,2314.0,15.0,32.0,52.0,60.0,88.0,228.0,304.0,238.0,8.5362,21.0118,30.6162,28.978,3.61,31.160000000000004,32.584999999999994,37.126,841.0,1102.0,928.0,725.0,1.0,5.0,7.0,8.0,25.0,65.0,90.0,60.0,1.9044,5.092199999999999,6.334199999999999,5.6856,0.0,-6.9,-3.85,-4.340000000000002,0.0,107.0,171.0,207.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,28.0,0.0,3.2099999999999995,5.069999999999999,6.919999999999998,qmof-0a0e6b0_primitive
116.4601,229.985,410.2182,462.493,1378.0,2952.0,3436.0,2314.0,15.0,32.0,52.0,60.0,88.0,228.0,304.0,238.0,8.5362,21.0118,30.6162,28.978,3.61,31.160000000000004,32.584999999999994,37.126,841.0,1102.0,928.0,725.0,1.0,5.0,7.0,8.0,25.0,65.0,90.0,60.0,1.9044,5.092199999999999,6.334199999999999,5.6856,0.0,-6.9,-3.85,-4.340000000000002,0.0,107.0,171.0,207.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,28.0,0.0,3.2099999999999995,5.069999999999999,6.919999999999998,qmof-0a0e6b0_primitive
181.8165,370.1864,675.8895999999999,939.2436,3399.0,6308.0,12510.0,10126.0,24.0,52.0,90.0,124.0,146.0,404.0,644.0,660.0,16.829700000000003,39.357200000000006,69.68119999999998,80.46459999999998,3.61,24.624,33.63633333333333,60.29333333333332,841.0,870.0,2503.6666666666665,2097.6666666666665,1.0,4.0,7.333333333333333,11.0,16.0,48.0,88.0,133.33333333333334,1.9044,4.0848,8.8872,11.2838,0.0,-5.36,-3.77,-10.833333333333336,0.0,86.0,126.33333333333331,246.66666666666663,0.0,0.0,0.0,0.0,0.0,4.0,7.333333333333333,10.666666666666666,0.0,2.559999999999999,3.68,7.003333333333332,qmof-00a1a50_primitive
